email_id,diversity,ground_truth,prediction,confidence,method,status,latency_ms,routed_to
bodyonly_4,body_only,repurchase,repurchase,0.88,body_only_classify,pending,44.5,policy_admin
claim_death_9123,clean,claim_death,claim_death,1.0,tier1_qr_deterministic,pending,164.9,claims
maintenance_client_4140,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,55.2,policy_admin
bulk_9694,broker_bulk,bulk_instructions,bulk_instructions,1.0,tier1_qr_deterministic,pending,309.3,policy_admin
bulk_508,broker_bulk,bulk_instructions,bulk_instructions,1.0,tier1_qr_deterministic,pending,362.8,policy_admin
repurchase_576,cover_letter,repurchase,repurchase,1.0,tier1_qr_deterministic,pending,284.9,policy_admin
maintenance_contrib_6449,legacy,maintenance_contrib,maintenance_contrib,0.95,tier2_template,pending,32.0,policy_admin
new_business_8109,clean,new_business,new_business,1.0,tier1_qr_deterministic,pending,205.0,new_business
maintenance_contrib_6369,clean,maintenance_contrib,maintenance_contrib,1.0,tier1_qr_deterministic,pending,52.7,policy_admin
maintenance_client_3598,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,53.1,policy_admin
repurchase_970,clean,repurchase,repurchase,1.0,tier1_qr_deterministic,pending,259.2,policy_admin
claim_death_9191,clean,claim_death,claim_death,1.0,tier1_qr_deterministic,pending,156.0,claims
new_business_8349,legacy,new_business,new_business,0.95,tier2_template,pending,112.8,new_business
maintenance_client_4192,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,54.6,policy_admin
maintenance_client_4221,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,56.0,policy_admin
repurchase_959,legacy,repurchase,repurchase,0.95,tier2_template,pending,186.5,policy_admin
legacy_noqr_5,legacy_no_qr,maintenance_client,maintenance_client,0.95,tier2_template,pending,30.0,policy_admin
repurchase_105,clean,repurchase,repurchase,1.0,tier1_qr_deterministic,pending,259.4,policy_admin
bulk_8007,broker_bulk,bulk_instructions,bulk_instructions,1.0,tier1_qr_deterministic,pending,567.6,policy_admin
maintenance_contrib_6078,afrikaans,maintenance_contrib,maintenance_contrib,0.8,tier2_template,review,35.6,policy_admin
claim_retirement_9486,clean,claim_retirement,claim_retirement,1.0,tier1_qr_deterministic,pending,154.7,claims
maintenance_client_4203,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,55.4,policy_admin
claim_death_8846,clean,claim_death,claim_death,1.0,tier1_qr_deterministic,pending,156.8,claims
repurchase_1592,clean,repurchase,repurchase,1.0,tier1_qr_deterministic,pending,259.6,policy_admin
repurchase_2862,legacy,repurchase,repurchase,0.95,tier2_template,pending,167.7,policy_admin
maintenance_client_4829,clean,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,53.1,policy_admin
new_business_7484,clean,new_business,new_business,1.0,tier1_qr_deterministic,pending,205.7,new_business
mismatch_6,body_attachment_mismatch,maintenance_client,maintenance_client,1.0,tier1_qr_deterministic,pending,55.0,policy_admin
